	0.0	21.33	42.67	85.33	170.67	341.33	682.67
5.0	17.136	22.764	28.392	39.636	62.136	107.136	197.136
30.0	17.94	23.148	28.524	39.636	62.136	107.136	197.136
50.0	19.944	24.696	29.736	40.176	62.136	107.136	197.136
80.0	23.616	28.224	32.7	42.372	63.072	107.136	197.136
140.0	30.12	35.1	39.96	49.236	67.764	108.864	197.136
200.0	36.0	41.484	46.5	56.304	74.676	113.136	197.784
300.0	44.088	50.808	56.748	67.14	86.736	123.168	202.992
500.0	56.916	65.604	73.26	86.568	108.408	147.588	220.728
